"num","Sujeto","CIF","OBS","Razon","GWh_15","pp_ventas","Obli_ahoGWh","IEEoa_17_EUR","Ajus_16","IEEoa_17_ajus16_EUR"
"495","ee","B55567986",NA,"SUNAIR ONE ENERGY, S.L.",414.58,0.053353,1.612029,109483.47,105.7,109589.17
"496","ee","B55641708",NA,"SUNAIR ONE HOME, S.L.",0,0,0,0,0,0
"497","pp","NL819259652B01",NA,"SUNOIL BIO FUELS, BV",0,0,0,0,0,0
"498","ee+g","A75128660",2,"SWAP ENERGIA, S.A.",0,0,0,0,NA,0
"499","ee","B86048667",NA,"SWITCH ENERGY, S.L.",0.013866,2e-06,5.4e-05,3.66,0,3.67
"500","ee","B99275851",NA,"SYDER COMERCIALIZADORA VERDE, S.L.",51.221427,0.006592,0.199166,13526.7,22.62,13549.32
"501","ee","B25616970",NA,"TALARN DISTRIBUCIO  MUNICIPAL ELECTRICA S.L.U.",0.525775,6.8e-05,0.002044,138.85,0.19,139.04
"502","pp","A80126881",NA,"TAMOIL ESPAÑA, S.A.",503.001,0.064733,1.95584,132833.94,185.45,133019.39
"503","ee","B97887848",NA,"TECNOS INGENIEROS  OBRA CIVIL, HIDRÁULICA  E INSTALACIONES, S.L.L.",0,0,0,0,0,0
"504","ee","A78053147",NA,"TELEFÓNICA  SOLUCIONES  DE INFORMÁTICA  Y COMUNICACIONES DE ESPAÑA, S.A.U.",92.722896,0.011933,0.360538,24486.53,0,24486.53
"505","ee","B52031168",NA,"TERAMELCOR,  S.L.",0.007243,1e-06,2.8e-05,1.91,0,1.91
"506","ee","B65510646",NA,"THE ENERGY HOUSE GROUP, S.L.",0.006517,1e-06,2.5e-05,1.72,0,1.72
"507","ee","B66027731",NA,"THE YELLOW ENERGY, S.L.",0.113,1.5e-05,0.000439,29.84,0,29.84
"508","pp","A28131571",NA,"TOTAL ESPAÑA, S.A.",0,0,0,0,0,0
"509","pp","FR12348103106",NA,"TOTAL EUROPEAN TRADING",0,0,0,0,0,0
"510","ee+g","689638949",3,"TOTAL GAS & POWER LIMITED",0,0,0,0,0,0
"511","ee","A66531013",1,"TRADE UNIVERSAL ENERGY, S.A.",0,0,0,0,0,0
"512","pp","B66814591",2.3,"TRADEA BROS OPERADOR PETROLÍFERO,  S.L.",0,0,0,0,NA,0
"513","g","199601595D",NA,"TRAFIGURA PTE, LTD",0,0,0,0,0,0
"514","ee+g","DE289523572",NA,"TRAILSTONE  GMBH",0,0,0,0,0,0
"515","pp","B87582235",2.3,"TRANSALPINA  DE PETRÓLEOS,  S.L.",0,0,0,0,NA,0
"516","pp","BE0402405686",NA,"TRANSCOR ENERGY, S.A.",0,0,0,0,0,0
"517","pp","A28587327",3,"TRANSPORTES  Y SERVICIOS DE MINERÍA, S.A. ( TRASEMISA )",0,0,0,0,4.91,4.91
"518","ee","B66277138",1,"UNIC GLOBAL-LOGISTICS, S.L.",0,0,0,0,0,0
"519","ee","A14944276",NA,"UNIELÉCTRICA  ENERGÍA, S.A.",448.553,0.057726,1.744127,118455.16,76.85,118532.01
"520","g","A82539594",NA,"UNIÓN FENOSA GAS COMERCIALIZADORA,S.A.",6102,0.785283,23.72666,1611433.61,2609.68,1614043.28
"521","ee+g","DE192205313",NA,"UNIPER GLOBAL COMMODITIES  S.E.",0,0,0,0,0,0
"522","glp","A62549126",2,"UNIVERSAL GASWORKS,  S.A.",0,0,0,0,NA,0
"523","ee","B96599006",1,"V3J INGENIERIA Y SERVICIOS, S.L.",0.100287,1.3e-05,0.00039,26.48,0,26.48
"524","pp","B24562837",NA,"VECENERGY BIOFUELS TORENO, S.L.",0,0,0,0,3.9,3.9
"525","pp","B90234311",2,"VENTA DE CARBURANTES  DEL SUR, S.L.U.",0,0,0,0,NA,0
"526","ee","B98476922",NA,"VERTSEL ENERGIA, S.L.U.",208.71,0.026859,0.811536,55116.73,30.07,55146.8
"527","ee","B39702436",NA,"VIESGO COMERCIALIZADORA DE REFERENCIA,  S.L.",386.53,0.049744,1.502961,102075.95,158.32,102234.27
"528","ee+g","B39540760",NA,"VIESGO ENERGÍA, S.L.",9940.55,1.279277,38.652254,2625128.87,3722.23,2628851.1
"529","ee+g","B62733126",NA,"VIESGO GENERACIÓN,  S.L.",0,0,0,0,0,0
"530","ee+g","B85253888",NA,"VILLAR MIR ENERGIA, S.L.",1371,0.176438,5.330916,362057.6,522.36,362579.96
"531","g","B87205977",1,"VITA CAPITAL TRADING, S.L.",0,0,0,0,0,0
"532","pp","DE248288296",NA,"VITAL FETTRECYCLING, GMBH",0,0,0,0,0,0
"533","g+glp","A81716706",NA,"VITOGAS ESPAÑA, S.A.U.",423.26,0.054471,1.645779,111775.71,-15786.8,95988.91
"534","g","N0392231G",NA,"VITOL, S.A.",0,0,0,0,0,0
"535","ee","B65800245",NA,"VÓLTICO ENERGÍA, S.L.",2.922256,0.000376,0.011363,771.72,0.4,772.12
"536","ee+g","B86755147",NA,"WATIO WHOLESALE,  S.L.",19.2236,0.002474,0.074748,5076.62,0.34,5076.96
"537","ee","B86459260",NA,"WATIUM, S.L.",153.89755,0.019806,0.598406,40641.71,32.69,40674.39
"538","ee","A84000884",NA,"WIND TO MARKET, S.A.",0,0,0,0,0,0
"539","g","B85057123",1,"YADE JORMAN ESPAÑA S.L.",2.22,0.000286,0.008632,586.26,0,586.26
"540","ee","B73727927",NA,"ZELTRIA ENERGÍA, S.L.",10.3,0.001326,0.04005,2720.05,2.29,2722.34
"541","ee","F93157717",NA,"ZENCER, S. COOP. AND",5.582611,0.000718,0.021707,1474.27,1.3,1475.57
"542","g","B99340564",NA,"ZERCLO ENERGIA, S.L.",1.02,0.000131,0.003966,269.36,0,269.36
